temperature,humidity,distance_km,product_type,category,category_label,initial_shelf_life,packaging_quality,spoilage_days,spoilage_risk
15.1,70.0,273.6,leafy_vegetables,fragile,2,2,2,0.5,1
5.6,86.7,279.7,potato,hardy,0,22,1,14.9,0
7.7,36.8,252.3,onion,hardy,0,21,3,24.8,0
13.3,40.8,56.7,onion,hardy,0,23,3,27.7,0
19.0,33.6,101.2,leafy_vegetables,fragile,2,5,1,3.0,0
9.0,56.9,259.2,tomato,normal,1,6,2,1.1,1
25.5,32.1,273.9,milk,fragile,2,1,2,0.5,0
6.2,50.2,234.4,berries,fragile,2,2,3,3.6,0
11.5,49.5,93.7,milk,fragile,2,3,2,4.9,0
17.2,60.4,187.9,leafy_vegetables,fragile,2,3,1,0.5,1
22.4,79.7,31.8,onion,hardy,0,21,1,13.1,0
18.1,47.6,193.6,leafy_vegetables,fragile,2,4,1,0.8,1
28.5,31.3,32.1,leafy_vegetables,fragile,2,5,3,2.6,0
27.8,45.5,30.7,leafy_vegetables,fragile,2,3,2,0.9,0
5.5,35.6,63.2,berries,fragile,2,5,3,14.1,0
19.7,88.0,245.4,milk,fragile,2,2,3,0.5,1
17.1,80.3,109.5,milk,fragile,2,4,1,1.2,1
31.7,39.1,260.7,berries,fragile,2,1,3,0.5,0
27.2,46.8,42.7,onion,hardy,0,28,3,23.4,0
36.5,74.9,205.3,carrot,normal,1,6,2,0.5,1
7.4,56.3,149.7,onion,hardy,0,19,3,23.4,0
9.8,88.5,262.3,carrot,normal,1,13,2,10.9,0
19.2,80.1,127.2,onion,hardy,0,26,2,21.0,0
11.5,35.9,231.5,banana,normal,1,9,1,6.6,0
15.4,66.8,143.3,apple,hardy,0,22,3,23.2,0
30.6,44.0,10.3,carrot,normal,1,7,3,6.7,0
10.4,70.5,142.8,milk,fragile,2,1,1,0.5,0
22.3,74.7,131.0,potato,hardy,0,17,3,13.4,0
5.2,36.7,95.1,berries,fragile,2,3,3,13.2,0
32.7,74.9,156.9,potato,hardy,0,30,2,18.5,0
28.1,75.0,254.9,potato,hardy,0,16,1,1.7,1
29.3,33.4,201.3,apple,hardy,0,30,2,23.2,0
29.4,49.3,277.4,banana,normal,1,15,2,2.5,1
21.6,86.0,253.5,milk,fragile,2,3,2,0.5,1
36.0,64.5,132.9,onion,hardy,0,26,3,16.5,0
33.1,65.0,198.8,leafy_vegetables,fragile,2,2,1,0.5,1
5.9,86.6,7.4,carrot,normal,1,6,3,14.7,0
39.9,52.8,230.4,leafy_vegetables,fragile,2,5,1,0.5,1
31.9,57.2,127.0,milk,fragile,2,1,1,0.5,0
8.9,53.1,86.9,tomato,normal,1,9,2,13.7,0
28.8,44.2,285.0,potato,hardy,0,19,1,5.6,1
39.4,87.5,180.6,berries,fragile,2,5,2,0.5,1
13.1,84.0,37.0,apple,hardy,0,16,3,18.1,0
6.3,92.2,248.0,onion,hardy,0,19,1,11.3,0
25.9,64.1,78.8,apple,hardy,0,16,3,13.8,0
39.9,88.3,139.6,carrot,normal,1,12,1,0.5,1
36.1,92.1,258.8,milk,fragile,2,1,1,0.5,0
8.0,56.5,112.4,apple,hardy,0,19,3,24.4,0
36.3,94.4,19.4,potato,hardy,0,30,1,17.2,0
36.7,67.1,199.0,tomato,normal,1,5,3,0.5,1
35.4,76.0,251.3,apple,hardy,0,19,1,0.6,1
29.5,42.3,264.6,banana,normal,1,14,1,2.5,1
33.7,44.9,272.7,carrot,normal,1,8,2,0.5,1
31.5,46.8,58.7,carrot,normal,1,15,1,8.8,0
27.2,65.1,234.2,berries,fragile,2,3,2,0.5,1
23.9,92.6,103.2,banana,normal,1,9,3,2.5,1
32.0,76.1,142.6,milk,fragile,2,2,2,0.5,1
35.5,93.3,290.7,berries,fragile,2,3,3,0.5,1
33.8,54.2,245.8,apple,hardy,0,24,3,13.4,0
10.6,60.5,283.3,berries,fragile,2,5,3,2.0,0
15.4,84.6,232.1,potato,hardy,0,25,2,19.3,0
38.3,39.8,130.3,leafy_vegetables,fragile,2,5,1,0.5,1
39.4,56.6,268.3,potato,hardy,0,16,3,1.9,1
6.1,72.4,111.2,apple,hardy,0,26,3,31.5,0
35.4,80.5,231.5,tomato,normal,1,6,2,0.5,1
32.9,49.1,273.6,leafy_vegetables,fragile,2,3,2,0.5,1
25.9,69.5,75.0,carrot,normal,1,10,1,1.6,1
27.8,51.2,177.5,apple,hardy,0,30,3,23.0,0
18.7,61.2,180.4,carrot,normal,1,13,3,9.8,0
36.8,77.1,225.0,onion,hardy,0,15,1,0.5,1
26.6,75.7,168.3,berries,fragile,2,4,2,0.5,1
23.7,87.4,25.7,onion,hardy,0,18,1,10.8,0
12.0,75.1,246.6,banana,normal,1,11,2,4.0,0
9.3,88.3,178.8,apple,hardy,0,21,1,14.5,0
32.4,69.8,145.8,carrot,normal,1,8,3,0.5,1
32.4,61.3,13.2,carrot,normal,1,15,2,11.1,0
35.5,44.2,292.8,potato,hardy,0,22,1,7.0,0
20.2,32.8,49.3,apple,hardy,0,16,2,16.7,0
27.8,43.0,204.4,apple,hardy,0,20,1,11.9,0
14.0,60.1,260.6,leafy_vegetables,fragile,2,2,3,0.5,1
35.3,67.6,132.1,carrot,normal,1,6,1,0.5,1
36.5,57.4,83.8,banana,normal,1,14,3,8.4,0
9.6,76.5,272.8,milk,fragile,2,2,3,0.5,1
22.9,56.8,21.7,carrot,normal,1,10,1,8.2,0
28.2,36.2,196.0,milk,fragile,2,1,1,0.5,0
28.0,51.1,232.3,banana,normal,1,11,1,0.5,1
10.9,63.8,101.8,berries,fragile,2,1,2,2.7,0
13.7,70.1,212.3,potato,hardy,0,18,2,15.7,0
23.7,80.8,211.9,milk,fragile,2,4,3,0.5,1
6.2,94.1,37.8,milk,fragile,2,4,1,6.7,0
11.3,35.8,31.9,berries,fragile,2,4,3,12.3,0
21.8,74.6,6.2,tomato,normal,1,6,1,4.0,0
22.1,73.3,42.8,leafy_vegetables,fragile,2,5,2,3.5,0
30.7,40.6,57.3,carrot,normal,1,12,3,9.1,0
13.9,73.0,293.6,berries,fragile,2,2,3,0.5,1
13.5,84.0,259.5,carrot,normal,1,15,1,6.2,0
12.5,72.8,118.8,potato,hardy,0,23,1,21.9,0
28.0,95.0,15.4,carrot,normal,1,5,1,0.5,1
24.8,78.0,263.7,potato,hardy,0,20,1,5.4,1
20.3,88.6,263.5,carrot,normal,1,7,3,0.5,1
27.7,51.3,189.4,carrot,normal,1,11,2,3.9,0
18.3,65.7,179.3,milk,fragile,2,3,1,0.5,1
21.2,54.7,259.1,carrot,normal,1,10,2,3.1,0
16.9,54.7,120.2,potato,hardy,0,29,1,30.2,0
31.1,76.5,156.8,berries,fragile,2,3,1,0.5,1
7.5,92.1,196.8,leafy_vegetables,fragile,2,4,3,2.4,0
22.0,46.7,86.2,carrot,normal,1,7,3,8.2,0
30.1,47.7,124.7,carrot,normal,1,15,1,5.9,0
24.9,46.7,288.9,milk,fragile,2,1,2,0.5,0
8.9,30.2,191.8,onion,hardy,0,20,1,23.3,0
11.1,53.5,271.9,berries,fragile,2,2,1,0.5,1
15.6,77.6,255.5,milk,fragile,2,2,3,0.5,1
19.8,39.9,71.3,tomato,normal,1,5,2,7.3,0
8.4,31.5,192.9,milk,fragile,2,3,3,6.6,0
22.4,94.2,41.8,potato,hardy,0,16,1,8.2,0
20.0,76.6,208.0,berries,fragile,2,4,3,0.5,1
36.7,80.2,80.2,carrot,normal,1,5,1,0.5,1
16.3,44.7,107.1,milk,fragile,2,1,1,1.3,0
14.5,68.5,204.4,milk,fragile,2,2,1,0.5,1
28.4,94.6,198.9,berries,fragile,2,3,1,0.5,1
38.5,41.4,207.3,carrot,normal,1,11,1,0.5,1
19.8,83.4,1.4,carrot,normal,1,11,3,10.6,0
34.5,63.9,187.5,potato,hardy,0,22,2,8.4,0
26.3,62.9,48.6,milk,fragile,2,4,1,0.5,1
8.1,90.9,166.6,tomato,normal,1,7,3,5.4,0
38.0,86.8,49.4,banana,normal,1,15,2,5.9,0
18.9,65.1,188.8,banana,normal,1,12,2,9.3,0
30.2,39.2,64.4,carrot,normal,1,13,2,8.7,0
27.4,83.5,40.6,carrot,normal,1,5,2,0.5,1
9.9,88.4,249.0,berries,fragile,2,3,3,0.5,1
7.4,31.7,41.4,onion,hardy,0,26,1,33.5,0
22.7,58.6,32.6,apple,hardy,0,30,2,30.3,0
18.5,66.7,58.3,leafy_vegetables,fragile,2,2,1,0.5,1
31.4,70.3,89.9,banana,normal,1,7,3,0.5,1
22.8,94.8,244.4,milk,fragile,2,4,3,0.5,1
19.9,38.5,266.1,onion,hardy,0,30,2,22.8,0
11.2,55.2,289.2,carrot,normal,1,6,3,1.1,1
19.7,81.4,175.1,banana,normal,1,14,3,9.2,0
34.2,70.9,60.5,potato,hardy,0,27,1,15.1,0
14.3,72.0,150.3,apple,hardy,0,19,3,16.3,0
18.2,55.6,138.4,banana,normal,1,14,1,10.3,0
38.4,81.1,95.3,potato,hardy,0,16,1,0.5,1
6.3,88.6,139.0,carrot,normal,1,11,3,12.3,0
20.8,44.8,266.9,banana,normal,1,12,3,5.9,0
31.1,72.8,240.8,potato,hardy,0,22,3,9.4,0
22.8,55.2,139.1,potato,hardy,0,18,3,16.0,0
19.4,65.7,249.3,leafy_vegetables,fragile,2,4,2,0.5,1
32.4,44.8,292.8,apple,hardy,0,16,3,2.8,1
21.7,88.2,97.3,onion,hardy,0,22,3,17.7,0
22.0,89.8,156.7,carrot,normal,1,15,2,5.5,0
20.4,69.8,283.0,berries,fragile,2,4,2,0.5,1
36.0,72.0,86.5,apple,hardy,0,21,2,9.8,0
27.3,44.4,293.5,berries,fragile,2,4,2,0.5,1
31.4,47.5,162.3,berries,fragile,2,2,1,0.5,1
12.5,62.9,252.4,berries,fragile,2,3,1,0.5,1
31.0,69.8,32.7,potato,hardy,0,27,3,22.9,0
10.6,60.0,3.8,potato,hardy,0,26,1,29.8,0
39.7,36.4,121.0,apple,hardy,0,16,2,6.0,0
26.5,74.7,113.2,banana,normal,1,8,1,0.5,1
31.6,32.3,224.0,carrot,normal,1,13,2,2.8,1
34.5,60.6,151.1,leafy_vegetables,fragile,2,4,2,0.5,1
27.5,80.7,65.9,milk,fragile,2,5,2,0.5,1
25.6,61.3,193.1,potato,hardy,0,30,1,19.2,0
29.6,33.4,146.5,banana,normal,1,6,2,0.5,1
27.3,39.7,208.9,milk,fragile,2,2,2,0.5,1
32.6,63.6,132.6,tomato,normal,1,11,2,0.5,1
25.9,77.8,299.5,milk,fragile,2,5,2,0.5,1
27.3,62.3,54.3,potato,hardy,0,20,3,17.9,0
10.8,75.5,176.2,carrot,normal,1,10,2,5.9,0
15.5,91.1,78.5,apple,hardy,0,24,2,22.8,0
29.7,71.0,15.9,tomato,normal,1,6,3,2.1,0
32.3,30.5,18.1,milk,fragile,2,4,2,1.7,0
7.4,33.7,85.4,potato,hardy,0,17,3,24.5,0
13.7,47.7,228.1,berries,fragile,2,1,2,0.5,0
24.7,52.5,95.2,carrot,normal,1,11,3,9.1,0
13.3,77.6,164.9,banana,normal,1,11,3,11.2,0
22.3,93.7,44.3,tomato,normal,1,14,3,10.6,0
21.2,93.2,182.9,potato,hardy,0,27,1,15.1,0
24.6,64.0,35.3,berries,fragile,2,4,2,0.6,1
7.4,76.0,163.5,banana,normal,1,10,2,9.8,0
28.2,44.0,30.2,onion,hardy,0,27,3,28.5,0
15.2,81.2,34.5,berries,fragile,2,2,3,1.2,0
16.6,79.2,156.3,onion,hardy,0,29,1,23.0,0
13.4,59.3,295.5,carrot,normal,1,5,2,0.5,1
22.4,36.9,197.4,onion,hardy,0,25,1,18.6,0
32.1,92.7,61.9,banana,normal,1,12,2,3.6,0
15.9,71.8,59.6,potato,hardy,0,22,2,21.5,0
20.7,66.3,50.6,carrot,normal,1,7,3,11.3,0
30.6,83.3,94.6,milk,fragile,2,3,2,0.5,1
22.7,92.9,125.9,apple,hardy,0,19,3,14.6,0
20.0,40.5,4.8,carrot,normal,1,7,1,11.4,0
33.8,43.6,114.3,potato,hardy,0,27,3,18.8,0
8.9,79.4,296.4,carrot,normal,1,13,2,5.3,0
33.7,87.2,158.1,onion,hardy,0,26,1,9.8,0
20.8,78.7,195.7,apple,hardy,0,15,2,6.3,0
34.5,46.5,10.3,apple,hardy,0,30,1,23.7,0
10.8,72.6,297.5,leafy_vegetables,fragile,2,3,3,0.5,1
12.5,53.4,21.5,tomato,normal,1,9,1,15.2,0
33.3,33.8,269.8,apple,hardy,0,15,3,2.9,1
5.0,41.0,117.5,banana,normal,1,10,2,15.8,0
19.4,82.2,144.2,banana,normal,1,13,1,3.8,1
38.8,38.3,212.6,carrot,normal,1,7,2,0.5,1
26.7,66.3,188.8,apple,hardy,0,26,1,16.3,0
20.7,44.2,37.0,leafy_vegetables,fragile,2,1,1,1.2,0
25.9,49.3,90.7,onion,hardy,0,23,2,19.0,0
28.4,68.6,267.8,berries,fragile,2,5,3,0.5,1
39.8,85.6,156.9,leafy_vegetables,fragile,2,4,1,0.5,1
22.1,77.9,158.0,apple,hardy,0,18,1,8.6,0
32.1,69.1,267.9,carrot,normal,1,10,1,0.5,1
20.6,81.3,192.2,apple,hardy,0,21,3,13.8,0
27.8,91.8,180.6,apple,hardy,0,23,3,11.4,0
19.2,87.9,1.9,apple,hardy,0,26,1,25.2,0
39.0,51.5,145.1,berries,fragile,2,3,2,0.5,1
23.1,30.4,3.3,potato,hardy,0,22,2,26.9,0
18.9,32.9,84.1,onion,hardy,0,15,1,14.5,0
9.0,52.4,152.7,potato,hardy,0,21,1,24.5,0
9.6,47.9,119.0,leafy_vegetables,fragile,2,4,3,9.1,0
14.0,73.8,89.7,potato,hardy,0,21,2,22.2,0
35.5,46.7,199.9,apple,hardy,0,29,1,15.9,0
9.2,57.2,225.6,tomato,normal,1,14,1,12.8,0
27.6,72.0,266.5,banana,normal,1,14,1,0.5,1
9.9,37.5,47.1,carrot,normal,1,8,3,18.9,0
34.0,94.4,246.2,onion,hardy,0,28,1,9.3,0
22.0,67.5,14.1,leafy_vegetables,fragile,2,1,1,0.5,0
34.6,75.0,129.5,onion,hardy,0,27,3,14.3,0
15.7,81.3,134.5,milk,fragile,2,3,2,2.9,0
8.5,87.8,4.7,apple,hardy,0,23,3,27.2,0
23.4,63.3,50.5,tomato,normal,1,8,3,7.2,0
27.3,52.1,22.4,carrot,normal,1,15,2,13.9,0
28.7,69.4,110.0,potato,hardy,0,15,2,7.4,0
6.4,32.0,117.0,onion,hardy,0,17,2,24.6,0
31.5,59.8,87.5,carrot,normal,1,14,1,6.3,0
39.4,48.7,288.4,tomato,normal,1,10,1,0.5,1
21.7,64.6,51.3,potato,hardy,0,25,1,21.5,0
11.8,33.7,103.4,tomato,normal,1,15,1,19.6,0
10.8,67.9,299.9,leafy_vegetables,fragile,2,2,1,0.5,1
35.8,70.5,171.2,apple,hardy,0,17,2,2.8,1
18.8,32.6,143.2,apple,hardy,0,17,2,17.0,0
17.4,59.8,12.4,banana,normal,1,15,2,16.3,0
32.8,47.9,263.3,milk,fragile,2,1,2,0.5,0
15.6,61.9,157.2,banana,normal,1,12,2,10.7,0
26.2,89.7,109.3,leafy_vegetables,fragile,2,3,1,0.5,1
31.8,67.3,286.9,leafy_vegetables,fragile,2,1,3,0.5,0
27.4,49.4,72.9,potato,hardy,0,20,3,19.3,0
6.1,86.7,158.6,tomato,normal,1,9,2,10.1,0
14.8,43.7,287.3,tomato,normal,1,7,3,2.5,0
30.8,84.2,222.4,leafy_vegetables,fragile,2,5,1,0.5,1
31.8,85.0,184.5,potato,hardy,0,23,3,9.3,0
7.3,52.7,34.2,banana,normal,1,6,1,13.7,0
8.5,86.5,204.8,potato,hardy,0,21,1,15.7,0
7.6,56.2,89.3,carrot,normal,1,11,2,17.0,0
37.5,56.3,271.9,leafy_vegetables,fragile,2,5,1,0.5,1
6.2,44.0,125.4,tomato,normal,1,10,1,15.8,0
30.2,86.4,136.7,milk,fragile,2,4,2,0.5,1
33.8,82.3,166.2,carrot,normal,1,8,3,0.5,1
32.1,47.6,149.5,apple,hardy,0,16,2,7.7,0
31.2,50.6,1.0,milk,fragile,2,5,2,0.9,1
14.7,76.0,19.7,carrot,normal,1,12,2,13.0,0
17.6,47.6,253.0,milk,fragile,2,3,2,0.5,1
36.8,54.5,289.3,apple,hardy,0,15,1,0.5,1
34.5,73.9,42.6,apple,hardy,0,19,1,12.1,0
11.4,48.1,39.8,milk,fragile,2,1,3,7.5,0
27.5,33.1,108.7,leafy_vegetables,fragile,2,4,3,1.6,0
21.0,43.6,111.2,apple,hardy,0,26,1,22.8,0
19.6,76.8,112.0,potato,hardy,0,25,2,21.6,0
12.6,74.1,182.7,carrot,normal,1,13,2,10.6,0
16.0,71.9,119.1,banana,normal,1,10,2,6.7,0
15.1,53.9,18.4,potato,hardy,0,20,2,21.7,0
5.5,54.6,101.9,onion,hardy,0,15,2,20.9,0
6.1,77.9,99.7,carrot,normal,1,8,2,11.1,0
28.7,50.3,232.4,carrot,normal,1,5,3,0.5,1
25.1,35.0,115.4,banana,normal,1,6,1,1.4,1
32.1,63.7,105.1,potato,hardy,0,26,2,15.5,0
27.6,93.3,254.3,milk,fragile,2,3,1,0.5,1
10.3,88.5,213.3,onion,hardy,0,16,1,11.7,0
31.2,60.8,18.3,tomato,normal,1,12,2,7.6,0
17.8,44.6,59.6,berries,fragile,2,1,2,3.6,0
32.3,67.6,44.9,tomato,normal,1,12,1,1.8,1
33.3,91.6,101.9,leafy_vegetables,fragile,2,4,2,0.5,1
7.1,74.8,207.3,apple,hardy,0,19,2,15.3,0
38.5,64.4,73.3,tomato,normal,1,14,1,1.8,1
7.7,47.9,242.3,onion,hardy,0,28,2,24.4,0
10.8,59.0,63.5,banana,normal,1,5,3,13.0,0
32.8,85.5,73.4,apple,hardy,0,23,2,13.2,0
20.3,68.6,22.9,milk,fragile,2,2,2,2.6,0
11.7,81.5,272.5,carrot,normal,1,5,2,0.5,1
31.5,40.5,143.6,carrot,normal,1,5,3,0.5,1
32.3,92.4,229.3,leafy_vegetables,fragile,2,4,1,0.5,1
27.2,44.4,97.2,banana,normal,1,11,2,6.8,0
20.0,31.9,144.8,berries,fragile,2,5,1,2.0,0
38.4,62.2,154.3,leafy_vegetables,fragile,2,1,3,0.5,0
6.1,33.8,133.9,milk,fragile,2,1,2,6.2,0
19.5,85.1,270.8,apple,hardy,0,27,2,17.1,0
34.4,78.9,69.4,berries,fragile,2,1,1,0.5,0
20.1,76.7,169.4,potato,hardy,0,17,1,7.7,0
14.9,52.9,268.3,banana,normal,1,14,3,9.7,0
36.1,65.4,62.1,berries,fragile,2,3,1,0.5,1
12.2,34.6,21.6,berries,fragile,2,3,3,8.1,0
16.6,75.1,231.6,leafy_vegetables,fragile,2,4,2,0.5,1
35.7,65.0,85.5,berries,fragile,2,5,3,0.5,1
39.1,44.7,92.0,potato,hardy,0,18,1,3.0,1
6.8,42.4,93.7,leafy_vegetables,fragile,2,4,3,13.1,0
15.6,51.1,214.1,berries,fragile,2,3,3,1.7,0
18.0,88.6,242.2,tomato,normal,1,12,3,4.3,0
19.5,79.0,7.2,apple,hardy,0,29,2,31.4,0
14.4,70.8,145.1,tomato,normal,1,8,1,4.6,0
24.6,80.7,212.8,milk,fragile,2,4,3,0.5,1
20.7,40.3,54.9,potato,hardy,0,25,3,27.5,0
34.8,52.4,10.2,banana,normal,1,13,1,6.8,0
16.7,93.6,257.1,onion,hardy,0,15,3,7.2,0
15.9,61.4,152.5,milk,fragile,2,1,2,1.3,0
34.4,30.7,211.4,leafy_vegetables,fragile,2,2,2,0.5,1
33.6,65.5,290.1,milk,fragile,2,5,3,0.5,1
30.1,86.1,54.6,potato,hardy,0,17,2,9.4,0
16.1,83.1,151.0,leafy_vegetables,fragile,2,3,3,0.5,1
36.7,30.8,202.5,banana,normal,1,5,1,0.5,1
19.4,90.8,129.7,apple,hardy,0,19,2,12.7,0
17.5,35.5,100.7,banana,normal,1,9,2,10.9,0
27.1,42.9,126.1,banana,normal,1,12,2,7.0,0
37.9,89.5,4.4,onion,hardy,0,27,2,17.5,0
11.6,67.8,62.1,potato,hardy,0,26,1,27.5,0
26.2,63.6,222.3,leafy_vegetables,fragile,2,4,2,0.5,1
25.8,41.2,277.7,banana,normal,1,13,3,5.1,0
26.8,72.2,81.0,banana,normal,1,10,2,5.9,0
23.4,46.2,1.6,tomato,normal,1,7,1,8.6,0
10.4,91.4,221.2,tomato,normal,1,15,1,9.2,0
